
Name                                                                   AppID                                                                                                               
----                                                                   -----                                                                                                               
Firefox                                                                308046B0AF4A39CB                                                                                                    
????????? ???????? Firefox                                             308046B0AF4A39CB;PrivateBrowsingAUMID                                                                               
AdGuard                                                                AdGuard                                                                                                             
AdGuard VPN                                                            AdGuardVPN                                                                                                          
Assassins Creed Directors Cut Edition                                  C:\Games\Assassins Creed Directors Cut Edition\GameLauncher.exe                                                     
??????? The Chronicles Of Myrtana - Archolos                           C:\Games\Cyberpunk 2077The Chronicles Of Myrtana Archolos\unins000.exe                                              
????????? Cyberpunk 2077                                               C:\Games\Cyberpunk 2077\bin\x64\Cyberpunk2077.exe                                                                   
Cyberpunk 2077                                                         C:\Games\Cyberpunk 2077\REDprelauncher.exe                                                                          
???????????????? Cyberpunk 2077                                        C:\Games\Cyberpunk 2077\unins000.exe                                                                                
????????? Fallout - New Vegas                                          C:\Games\Fallout - New Vegas\launcher.exe                                                                           
????????? Fallout New Vegas                                            C:\Games\Fallout New Vegas\FalloutNV.exe                                                                            
????????? Launcher Fallout New Vegas                                   C:\Games\Fallout New Vegas\launcher.exe                                                                             
???????????????? Fallout New Vegas                                     C:\Games\Fallout New Vegas\unins000.exe                                                                             
Ghost of Tsushima DIRECTORS CUT                                        C:\Games\Ghost of Tsushima DIRECTORS CUT\GhostOfTsushima.exe                                                        
????????? God of War Ragnarok                                          C:\Games\God of War Ragnarok\GoWR.exe                                                                               
????????? Grand Theft Auto IV                                          C:\Games\Grand Theft Auto IV\LaunchGTAIV.exe                                                                        
??????? Grand Theft Auto IV                                            C:\Games\Grand Theft Auto IV\unins000.exe                                                                           
????????? Grand Theft Auto San Andreas                                 C:\Games\Grand Theft Auto San Andreas\gta_sa.exe                                                                    
???????????????? Grand Theft Auto San Andreas                          C:\Games\Grand Theft Auto San Andreas\unins000.exe                                                                  
????????? GTA IV Episodes from Liberty City                            C:\Games\GTA IV Episodes from Liberty City\GameLauncher.exe                                                         
???????????????? GTA IV Episodes from Liberty City                     C:\Games\GTA IV Episodes from Liberty City\unins000.exe                                                             
GTA Vice City Nextgen Edition                                          C:\Games\GTA Vice City Nextgen Edition\vcNElaunch.exe                                                               
?????????Mortal Kombat XL                                              C:\Games\Mortal Kombat XL\Binaries\Retail\MK10.exe                                                                  
M[FR] ??????????                                                       C:\Games\M[FR]\M[FR] Launcher.exe                                                                                   
Save Tool                                                              C:\Games\Recast\SaveTool.EXE                                                                                        
Skyrim (????)                                                          C:\Games\Recast\skse_loader.exe                                                                                     
??????? (?????????)                                                    C:\Games\Recast\SkyrimLauncher.exe                                                                                  
F.A.Q.                                                                 C:\Games\Recast\Skyrim\F.A.Q.txt                                                                                    
???????????????? Skyrim                                                C:\Games\Recast\unins000.exe                                                                                        
S.T.A.L.K.E.R - OP_OGSR                                                C:\Games\S.T.A.L.K.E.R - OP_OGSR\bin_x64\xrEngine.exe                                                               
???????? ??????? (?? OGSR)                                             C:\Games\S.T.A.L.K.E.R - OP_OGSR\JSGME.exe                                                                          
????????? Sekiro                                                       C:\Games\Sekiro\sekiro.exe                                                                                          
??????? Sekiro                                                         C:\Games\Sekiro\unins000.exe                                                                                        
Wrye Bash - Skyrim                                                     C:\Games\Skyrim Evolution\Mopy\Wrye Bash.exe                                                                        
Skyrim Evolution                                                       C:\Games\Skyrim Evolution\Skyrim Evolution Launcher.exe                                                             
Wrye Bash - SkyrimSE                                                   C:\Games\Skyrim Special Edition Mods\Mopy\Wrye Bash.exe                                                             
????????? Star Wars The Force Unleashed                                C:\Games\Star Wars The Force Unleashed\SWTFU.exe                                                                    
The Elder Scrolls - Skyrim                                             C:\Games\The Elder Scrolls - Skyrim\SkyrimSELauncher.exe                                                            
????????? The Forest                                                   C:\Games\The Forest\GameLauncher.exe                                                                                
???????????????? The Forest                                            C:\Games\The Forest\unins000.exe                                                                                    
